label,PID,PName,event,eid,user,timestamp,date,saddr,sport,daddr,dport,FileName,ParentID,ImageFileName,CommandLine,PPName,techniques,subject,object,anomaly_label
,5260,,TcpIp/Recv,107516c49f25f834f303d259f0cd069b,admin,1652108220,5/9/2022 22:57,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#nan,"49,784:42.81.86.68:443",0
,5260,iexplore,TcpIp/Recv,2adc6537eb5533876f20120cf5c963c1,admin,1652108220,5/9/2022 22:57,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,1240,devenv,TcpIp/Send,e4f93e96a4fd137ee1eab1f4ca61eecd,admin,1652108243,5/9/2022 22:57,192.168.0.110,"49,846",13.94.47.61,"9,354",Nil,,,nil,,T1020,1240#devenv,"49,846:13.94.47.61:9,354",0
,2980,MsMpEng,FileIO/Read,1e852ace593ef6bfd6c386da5dadb3d2,admin,1652108265,5/9/2022 22:57,,,,,D:\distdet-log\benign_collect_time.txt,,,nil,,T1005,2980#MsMpEng,D:\distdet-log\benign_collect_time.txt,0
,6512,LogonUI,Process/Start,2e446d6b15964401882cb1643ebd7623,admin,1652108277,5/9/2022 22:57,,,,,Nil,2156.0,LogonUI.exe,&quot;LogonUI.exe&quot; /flags:0x0 /state0:0xa2792855 /state1:0x41c64e6d,unknown,T1204.002,2156#unknown,6512#LogonUI,0
,4420,taskhostw,Process/Start,6b207a67f1c3f72a469318d573aaa130,admin,1652108278,5/9/2022 22:57,,,,,Nil,1752.0,taskhostw.exe,taskhostw.exe KEYROAMING,unknown,T1204.002,1752#unknown,4420#taskhostw,0
,1240,devenv,TcpIp/Recv,6e3754ea2ef93a6269bfdd4220690fbc,admin,1652108278,5/9/2022 22:57,192.168.0.110,"49,846",13.94.47.61,"9,354",Nil,,,nil,,T1589,1240#devenv,"49,846:13.94.47.61:9,354",0
,784,postgres,Process/Start,6161602e545a354b376686b56c2594ff,admin,1652108278,5/9/2022 22:57,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5228&quot;,unknown,T1204.002,4248#unknown,784#postgres,0
,5260,iexplore,TcpIp/Recv,13f8a0642d6b4570a33292f208c47ee3,admin,1652108280,5/9/2022 22:58,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,6432,postgres,Process/Start,d8a90113b1ea12b3e0864dd6e7866428,admin,1652108338,5/9/2022 22:58,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5180&quot;,unknown,T1204.002,4248#unknown,6432#postgres,0
,5260,iexplore,TcpIp/Recv,108c649ad597ad81a7a694135c66db39,admin,1652108340,5/9/2022 22:59,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,2196,postgres,Process/Start,0b584b32685c8dd1dcd28288a40cca88,admin,1652108399,5/9/2022 22:59,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5216&quot;,unknown,T1204.002,4248#unknown,2196#postgres,0
,5260,iexplore,TcpIp/Recv,d1e8131e5bce481efbc47b32bea7917a,admin,1652108400,5/9/2022 23:00,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,4800,postgres,Process/Start,c774b0baa9ce2992e68b9ef828f867af,admin,1652108459,5/9/2022 23:00,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5284&quot;,unknown,T1204.002,4248#unknown,4800#postgres,0
,5260,iexplore,TcpIp/Recv,38c94fe114525371bbef436048e2a979,admin,1652108460,5/9/2022 23:01,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,1240,devenv,TcpIp/Recv,f0f5e7107c184c952c30510e3a215a85,admin,1652108513,5/9/2022 23:01,192.168.0.110,"49,846",13.94.47.61,"9,354",Nil,,,nil,,T1589,1240#devenv,"49,846:13.94.47.61:9,354",0
